AID Class FRENCH GERMAN LATIN SPANISH BOOK COMPUTER DEBATE DRAMA FUTURE HISTORY MATH SCIENCE BAND CHEER CHORUS ORCHESTRA OTHER BASE BASKETBALL FIELD FOOTBALL ICE SOCCER SWIMMING TENNIS TRACK VOLLEYBALL WRESTLING OTHER NEWSPAPER HONOR STUDENT YEARBOOK AH_PVT REACH3 age grade male PovertyPct CollegePct ReligiousPct MedianIncome w1drinkfrq w1drinkfive w1drunk w2drinkfrq w2drinkfive w2drunk w2anyalc w2alcoutsidefam pardrinkfrq pardrinkfive religionimp tobacco cycling sports hangout w1anyalc w1alcoutsidefam w1numdrinks w2numdrinks w1alcprobfrnd w2alcprobfrnd hourstv troublefocus momwarm momcommunicate dadwarm dadcommunicate familyunderstnd closetomom closetodad momdiscethic familyfun momtalk momdiscprob momargue momshop momsport mommovie gotochurch close_school part_school happy_school frndactiv gpa schoolfit white black hispanic centrality localdensity prestige w1psych w2psych w1alctrt w2alctrt clubs cesd
92715933 126 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 82 19 14 8 0 0.822222222 0 0.555 5974 0 0 0 0 0 0 0 0 1 1 1 0 0 1 2 0 0 0 0 0 0 20 0 1 2 3 3 4 5 3 3 4 0 1 0 1 0 1 1 2 2 2 7 2.25 2 0 1 1 0.573016777 0.833333333 0.243548659 0 0 0 0 9 0.473684211
92715934 126 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 122 1 13 7 0 0.028806584 0.271153846 0.571 26500 0 0 0 0 0 0 0 0 1 1 3 0 0 0 2 0 0 0 0 0 0 35 2 2 4 3 3 2 4 3 1 2 1 0 1 1 0 1 1 2 2 2 4 1 2 1 0 0 0.096621349 0.35 0.226575302 0 0 0 0 7 0.894736842
92715935 126 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 103 32 12 7 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 0 0 2 3 1 0 0 1 3 0 0 0 0 0 0 12 0 1 2 1 1 4 5 5 1 3 0 0 0 1 0 0 1 3 3 4 9 1 3.333333333 1 0 0 1.14272265 0.517857143 0.258503401 0 0 0 0 3 0.263157895
92715936 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 78 16 14 9 1 0 0.331114809 0.555 29471 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 4 0 1 1 1 2 4 5 5 1 5 0 0 1 1 0 1 1 2 3 1 4 1.75 2 0 0 0 0.289894606 0.25 0.187703107 0 0 0 0 1 0.947368421
92715939 126 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 94 27 13 8 0 0 0.126262626 0.555 33779.15 0 0 0 2 1 0 1 1 1 1 1 1 1 1 2 0 0 0 4 0 0 7 2 2 3 3 3 4 5 3 2 3 0 0 1 1 0 0 1 1 1 2 7 2.25 1.333333333 1 0 1 0.980826222 0.279166667 0.382719322 0 0 0 0 2 0.52631579
93715930 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 87 32 14 8 1 0.321637427 0.065168539 0.555 14402 1 0 0 1 1 1 1 0 1 1 1 0 2 3 2 1 1 3 2 0 0 30 1 1 1 2 2 5 5 4 1 3 0 0 0 1 0 1 3 1 2 1 12 3 1.333333333 0 0 0 1.696786286 0.340909091 0.310204082 0 0 0 0 5 0.631578947
93715931 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 83 18 13 8 1 0.43236715 0.080717489 0.555 14167 0 0 0 2 1 0 1 1 1 1 1 1 0 3 2 1 1 0 2 0 0 18 1 1 1 3 3 4 5 3 1 5 1 1 0 0 0 0 1 2 1 2 8 2.75 1.666666667 0 1 0 0.224352566 0.25 0.334879406 0 0 0 0 4 0.210526316
93715932 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 90 34 13 7 0 0.021857924 0.159776536 0.555 30183 0 0 0 0 0 0 1 0 2 1 1 0 0 1 3 0 0 0 0 0 0 20 1 1 2 1 2 5 5 5 2 4 0 0 0 1 0 0 1 2 2 4 5 1.75 2.666666667 1 0 0 1.399417997 0.355555556 0.280660836 0 0 0 0 4 0.421052632
93715933 126 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 101 99 13 7 0 0.116504854 0.058943089 0.555 19290 0 0 0 1 0 0 1 1 4 5 2 0 1 0 0 0 0 0 1 0 0 10 1 2 1 3 3 3 5 3 2 5 0 0 0 1 0 1 4 2 1 1 3 1.75 1.333333333 1 0 0 99 99 99 0 0 0 0 99 0.263157895
93715934 126 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 95 35 14 8 1 0.062015504 0.24248927 0.555 31597 0 0 0 99 99 99 99 99 1 1 3 1 3 3 3 0 0 0 99 0 99 35 1 1 1 1 1 5 5 5 1 5 0 0 0 1 1 1 3 2 1 2 13 2.5 1.666666667 1 0 0 1.624247439 0.262820513 0.350826045 1 99 0 99 8 0.263157895
93715935 126 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 1 13 7 1 0.090981 0.102739726 0.555 33779.15 0 0 0 0 0 0 0 0 4 4 1 1 0 2 1 0 0 0 0 0 0 10 0 3 3 2 2 5 3 5 3 4 0 0 0 0 0 0 3 1 2 3 6 3.25 2 1 0 1 0.096621349 0.5 0.020408163 0 0 0 0 1 0.210526316
