	5001	5002	5003	5004	5005	5006	5007	5008	5010	5011	5012	5013	5014	5015	5016	5017	5018	5019	5020	5021	5022	5023	5024	5025	5026	5028	5029	5031	5032	5033	5035	5036	5037	5038	5039	5040	5041	5042	5043	5044	5046	5047	5049	5050
5001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5002	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5003	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0
5004	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5006	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5007	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1
5008	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0
5010	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0
5011	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5012	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
5013	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0
